Date,Sales,Expenses,Region,Customer_Satisfaction_Score,Website_Visits,Ad_Spend,Product_Category,Profit
01-01-2023 00:00,3539,2382,East,50,1415,398,Furniture,1157
01-01-2023 01:00,3960,1422,West,72,554,899,Electronics,2538
01-01-2023 02:00,4324,2675,South,80,1996,328,Clothing,1649
01-01-2023 03:00,4301,1949,East,84,1770,995,Furniture,2352
01-01-2023 04:00,2542,2082,North,96,1962,730,Furniture,460
01-01-2023 05:00,2197,1064,North,94,813,369,Groceries,1133
01-01-2023 06:00,2676,970,West,71,1843,180,Electronics,1706
01-01-2023 07:00,2191,1487,North,95,719,771,Clothing,704
01-01-2023 08:00,3217,2434,South,56,1894,287,Furniture,783
01-01-2023 09:00,2416,723,East,82,1739,799,Groceries,1693
01-01-2023 10:00,3993,2701,South,94,548,919,Furniture,1292
01-01-2023 11:00,3842,850,South,85,962,600,Furniture,2992
01-01-2023 12:00,3681,2428,South,93,617,805,Electronics,1253
01-01-2023 13:00,2217,848,South,56,581,586,Groceries,1369
01-01-2023 14:00,2540,681,East,76,1786,871,Groceries,1859
01-01-2023 15:00,3076,1136,East,51,995,587,Clothing,1940
01-01-2023 16:00,4236,1517,South,66,1133,577,Furniture,2719
01-01-2023 17:00,2445,2726,South,50,1336,802,Groceries,-281
01-01-2023 18:00,3386,1271,North,95,1101,388,Furniture,2115
01-01-2023 19:00,4719,1515,North,79,1269,205,Furniture,3204
01-01-2023 20:00,2519,2611,East,71,1172,740,Clothing,-92
01-01-2023 21:00,2388,528,North,77,675,708,Clothing,1860
01-01-2023 22:00,2856,2919,East,82,1304,675,Groceries,-63
01-01-2023 23:00,2365,2644,East,75,1612,739,Furniture,-279
02-01-2023 00:00,1499,2393,West,84,1138,322,Groceries,-894
02-01-2023 01:00,2680,1965,East,60,1882,904,Furniture,715
02-01-2023 02:00,1510,1726,North,56,1809,481,Groceries,-216
02-01-2023 03:00,4398,2568,West,77,796,937,Groceries,1830
02-01-2023 04:00,1216,1625,North,74,1783,203,Furniture,-409
02-01-2023 05:00,2324,565,East,90,974,763,Electronics,1759
02-01-2023 06:00,2155,1634,East,80,1035,213,Clothing,521
02-01-2023 07:00,2827,837,South,52,1560,607,Furniture,1990
02-01-2023 08:00,4141,2670,East,82,1704,154,Groceries,1471
02-01-2023 09:00,4323,2228,West,83,524,220,Electronics,2095
02-01-2023 10:00,4486,946,East,70,848,316,Groceries,3540
02-01-2023 11:00,2810,780,South,86,1136,734,Electronics,2030
02-01-2023 12:00,3492,1095,East,98,726,102,Furniture,2397
02-01-2023 13:00,3923,2486,East,68,1871,191,Clothing,1437
02-01-2023 14:00,2205,1574,East,86,537,506,Groceries,631
02-01-2023 15:00,3214,709,South,70,1906,775,Electronics,2505
02-01-2023 16:00,1090,625,North,63,1069,540,Electronics,465
02-01-2023 17:00,1713,991,East,59,735,730,Clothing,722
02-01-2023 18:00,2881,1469,West,56,1704,531,Groceries,1412
02-01-2023 19:00,4602,1080,South,78,613,160,Furniture,3522
02-01-2023 20:00,1038,2805,West,89,805,825,Furniture,-1767
02-01-2023 21:00,4197,1711,East,57,631,572,Groceries,2486
02-01-2023 22:00,4522,729,South,88,847,346,Clothing,3793
02-01-2023 23:00,1172,688,East,62,1703,846,Clothing,484
03-01-2023 00:00,1652,2557,West,95,914,968,Clothing,-905
03-01-2023 01:00,1753,1001,South,68,1482,471,Electronics,752
03-01-2023 02:00,2243,2632,North,60,1231,388,Electronics,-389
03-01-2023 03:00,4709,548,North,51,1153,689,Clothing,4161
03-01-2023 04:00,2081,1188,North,98,884,123,Groceries,893
03-01-2023 05:00,2683,886,East,55,1011,505,Furniture,1797
03-01-2023 06:00,3523,1469,South,78,1566,407,Electronics,2054
